datum,M01AB_monthly,M01AE_monthly,N02BA_monthly,N02BE_monthly,N05B_monthly,N05C_monthly,R03_monthly,R06_monthly,M01AB_weekly,M01AE_weekly,N02BA_weekly,N02BE_weekly,N05B_weekly,N05C_weekly,R03_weekly,R06_weekly,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,M01AB_hourly,M01AE_hourly,N02BA_hourly,N02BE_hourly,N05B_hourly,N05C_hourly,R03_hourly,R06_hourly,Year_hourly,Month_hourly,Hour_hourly
2014-01-31,127.69,99.09000000000005,152.09999999999997,878.0300000000002,354.0,50.0,112.0,48.2,108.0,83.06,136.6,774.65,289.0,21.0,105.0,36.2,,,,,,,,,,,,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,48336.0,24.0,276.0
2014-02-28,133.32,126.0500000000001,176.99999999999997,1001.9,347.0,31.0,122.0,36.2,126.00999999999999,118.01,165.5,940.0799999999999,370.0,38.0,113.0,41.2,,,,,,,,,,,,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,48336.0,48.0,276.0
2014-03-31,137.44000000000003,92.95000000000007,147.655,779.275,232.0,20.0,112.0,85.4,159.1,114.67999999999999,170.655,929.075,268.0,21.0,124.0,86.4,,,,,,,,,,,,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,48336.0,72.0,276.0
2014-04-30,113.10000000000004,89.47500000000008,130.89999999999998,698.5,209.0,18.0,97.0,73.7,109.43,82.025,114.75,611.4,190.0,16.0,89.0,73.3,,,,,,,,,,,,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,48336.0,96.0,276.0
2014-05-31,101.79000000000003,119.93300000000008,132.1,628.7800000000001,270.0,23.0,107.0,123.7,94.09,108.323,122.4,597.9,230.0,24.0,101.0,105.0,,,,,,,,,,,,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,48336.0,120.0,276.0
2014-06-30,112.07000000000002,94.71000000000006,122.9,548.225,323.0,23.0,57.0,109.3,122.78,110.77,146.0,656.605,382.0,25.0,75.0,134.4,,,,,,,,,,,,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,48336.0,144.0,276.0
2014-07-31,117.06000000000002,95.01000000000012,129.3,491.9,348.0,21.0,61.0,69.1,115.04,96.65,118.30000000000001,470.8,308.0,18.0,55.0,56.6,,,,,,,,,,,,3.0,0.34,4.0,10.5,8.0,0.0,0.0,1.0,48336.0,168.0,276.0
2014-08-31,134.79000000000005,99.7800000000001,123.8,583.8499999999999,420.0,29.0,37.0,70.80000000000001,132.81,103.48,135.8,593.45,466.0,32.0,43.0,83.3,22.05,31.275000000000002,29.0,160.15,112.0,3.0,12.0,15.0,14098.0,56.0,1932.0,0.0,2.68,1.0,15.0,13.0,0.0,7.0,2.0,48336.0,192.0,276.0
2014-09-30,108.78000000000004,109.0940000000001,122.09999999999998,887.8199999999999,399.0,14.0,115.0,58.8,91.78,100.074,105.8,796.72,377.0,12.0,83.0,52.8,,,,,,,,,,,,10.0,5.34,4.0,61.3,10.0,2.0,22.0,2.0,48336.0,216.0,276.0
2014-10-31,154.75000000000003,185.2410000000001,191.6,1856.8149999999996,472.0,30.0,182.0,74.5,98.855,105.2913125,117.2375,1006.236875,367.0625,17.625,160.0,47.6875,,,,,,,,,,,,2.0,2.45,4.0,31.0,16.0,0.0,0.0,2.0,48336.0,240.0,276.0
2014-11-30,138.08000000000004,100.86000000000004,142.7,723.8,489.0,19.0,112.0,45.2,157.42000000000002,113.34,172.3,881.8,576.0,23.0,144.0,50.2,31.060000000000002,18.09,39.6,161.5,96.0,7.0,20.0,18.1,14098.0,77.0,1932.0,5.68,1.33,5.0,22.6,9.0,1.0,0.0,2.0,48336.0,264.0,276.0
2014-12-31,131.90000000000003,121.40100000000004,111.124,1015.66,492.0,25.0,163.0,33.4,114.9,105.781,100.824,883.5799999999999,455.0,21.0,146.0,30.4,,,,,,,,,,,,5.67,6.33,2.5,41.08,14.0,3.0,10.0,1.0,48336.0,288.0,276.0
2015-01-31,135.91000000000005,130.34900000000005,141.0,1044.2400000000002,463.0,24.0,177.25,42.0,125.06,116.739,128.6,1012.62,406.0,21.0,154.25,37.0,,,,,,,,,,,,8.34,6.112,5.0,32.4,12.0,0.0,11.0,2.0,48360.0,24.0,276.0
2015-02-28,115.71,123.73999999999997,131.83,953.252,243.0,9.0,208.0,47.0,109.21,130.337,126.13,901.182,286.0,15.0,210.0,47.0,,,,,,,,,,,,6.34,3.33,1.6,26.6,9.0,0.0,4.0,3.0,48360.0,48.0,276.0
2015-03-31,156.04000000000005,129.38599999999997,133.8,1084.85,208.0,13.0,195.0,54.0,179.06,145.192,141.0,1241.42,250.0,14.0,206.0,58.0,,,,,,,,,,,,5.0,2.0,11.2,33.5,5.0,0.0,2.0,4.0,48360.0,72.0,276.0
2015-04-30,154.5,101.115,122.1,940.17,192.0,5.0,97.0,112.0,153.5,93.335,129.4,880.97,175.0,5.0,80.0,90.0,,,,,,,,,,,,3.0,8.727,2.6,32.6,7.0,0.0,3.0,7.0,48360.0,96.0,276.0
2015-05-31,160.02,119.11700000000006,136.04,765.9000000000001,194.0,10.0,100.0,159.5,172.35,133.724,149.94,884.3,220.0,10.0,119.0,185.5,50.33,24.047,32.5,196.1,44.0,3.0,51.0,38.5,14105.0,35.0,1932.0,3.0,4.697,6.3,31.5,2.0,0.0,0.0,10.5,48360.0,120.0,276.0
2015-06-30,151.87000000000003,113.69,145.46,746.788,217.0,12.0,193.0,125.79999999999998,145.19,105.36,135.45999999999998,658.413,190.0,12.0,180.0,118.5,,,,,,,,,,,,1.0,4.67,6.0,35.0,12.0,0.0,2.0,4.3,48360.0,144.0,276.0
2015-07-31,175.61000000000004,113.81000000000002,125.5,708.8280000000001,203.0,6.0,60.0,130.3,141.93,97.11,103.3,664.95,188.0,6.0,70.0,122.1,,,,,,,,,,,,5.5,9.0,6.2,24.0,8.0,0.0,0.0,6.0,48360.0,168.0,276.0
2015-08-31,181.69000000000003,144.51900000000003,133.4,790.788,265.5,15.0,45.0,83.7,218.05,160.209,162.2,853.6659999999999,298.0,15.0,42.0,97.2,,,,,,,,,,,,4.0,9.34,3.4,38.0,9.5,0.0,6.0,2.0,48360.0,192.0,276.0
2015-09-30,166.22000000000008,134.12200000000004,110.4,852.125,243.5,11.0,91.0,71.0,157.57,133.439,106.8,812.525,229.0,11.0,80.0,70.0,,,,,,,,,,,,5.32,4.33,4.0,22.5,9.0,0.0,0.0,1.0,48360.0,216.0,276.0
2015-10-31,195.81000000000012,127.23099999999998,146.20000000000002,1574.3350000000007,222.0,8.0,184.0,72.0,180.81,116.251,123.19999999999999,1354.935,198.0,6.0,173.0,63.0,,,,,,,,,,,,5.66,4.65,8.0,58.4,6.0,0.0,7.0,1.0,48360.0,240.0,276.0
2015-11-30,152.78000000000006,128.233,145.90000000000003,1277.725,228.0,18.0,195.0,44.0,163.1,147.411,170.9,1496.675,271.0,19.0,187.0,53.0,,,,,,,,,,,,7.33,1.8250000000000002,5.0,35.3,5.0,1.0,6.0,3.0,48360.0,264.0,276.0
2015-12-31,159.46000000000004,131.29100000000005,136.99999999999997,1258.3490000000002,286.0,28.0,231.0,41.73,137.8,112.499,121.2,1059.799,234.0,26.0,199.0,37.730000000000004,,,,,,,,,,,,7.66,6.099,7.6,44.35,18.0,0.0,6.0,1.0,48360.0,288.0,276.0
2016-01-31,171.65000000000006,128.402,172.49999999999997,1476.3240000000003,248.0,24.0,174.0,56.5,200.64,149.019,193.3,1710.174,305.0,27.0,212.0,63.5,46.01,37.660000000000004,37.5,341.074,52.0,10.0,62.0,12.5,14112.0,7.0,1932.0,4.33,5.143000000000001,3.8,78.9,3.0,0.0,6.0,2.0,48384.0,24.0,276.0
2016-02-29,173.81000000000003,137.528,134.20000000000002,1224.8620000000003,239.0,20.0,245.0,58.0,166.81,129.868,130.2,1178.662,226.0,20.0,242.0,57.0,,,,,,,,,,,,7.0,7.66,4.0,46.2,13.0,0.0,3.0,1.0,48384.0,48.0,276.0
2016-03-31,156.64000000000004,180.5890000000001,148.4,1150.7000000000005,250.0,13.0,253.0,97.84,145.13,158.219,137.2,1082.65,235.0,13.0,223.0,83.34,,,,,,,,,,,,2.33,8.68,2.9,31.25,1.0,0.0,5.0,5.0,48384.0,72.0,276.0
2016-04-30,166.6100000000001,146.52600000000007,147.7,998.3370000000004,318.0,18.0,216.0,162.39999999999998,146.48,127.751,126.15,903.475,210.33333333000002,17.0,224.0,151.7,,,,,,,,,,,,9.66,10.32,7.0,47.812,11.0,0.0,1.0,4.5,48384.0,96.0,276.0
2016-05-31,167.36000000000007,120.86099999999996,130.54999999999995,997.1500000000004,275.0,18.0,131.0,137.10000000000002,196.66,148.313,159.7,1155.862,358.6666667,19.0,136.0,153.3,,,,,,,,,,,,6.0,3.33,3.5,21.0,3.0,0.0,13.0,2.0,48384.0,120.0,276.0
2016-06-30,169.67000000000002,114.961,117.75,760.05,311.0,20.0,127.0,134.8,160.68,105.005,108.15,731.45,239.0,8.0,135.0,131.8,,,,,,,,,,,,4.0,3.803,3.2,9.0,6.0,0.0,0.0,2.0,48384.0,144.0,276.0
2016-07-31,203.97000000000017,141.01900000000003,137.89999999999998,652.3619999999999,240.0,8.0,109.0,116.83,212.85833333,157.328,155.1,731.362,287.5,20.0,121.0,129.82999999999998,56.31,29.82,30.65,134.5,70.0,3.0,30.0,23.0,14112.0,49.0,1932.0,6.0,5.01,4.5,22.0,5.0,0.0,0.0,4.0,48384.0,168.0,276.0
2016-08-31,211.13000000000017,114.37499999999996,132.7,753.0500000000002,275.5,12.0,116.0,85.3,191.47,106.55799999999999,123.7,640.0833334,264.5,12.0,113.0,79.0,,,,,,,,,,,,6.0,5.827,5.0,23.2,3.0,0.0,1.0,5.0,48384.0,192.0,276.0
2016-09-30,172.96000000000004,126.21799999999996,116.7,1118.699,307.0,18.0,121.0,69.3,151.62,119.56299999999999,102.25,917.1990000000001,285.0,13.0,108.0,63.4,,,,,,,,,,,,7.0,5.0,2.6,23.4,5.0,0.0,10.0,3.0,48384.0,216.0,276.0
2016-10-31,186.7600000000001,142.0560000000001,160.15,1617.275000000001,312.0,11.0,220.0,60.9,225.1,152.708,180.6,1787.6916667,317.8333333,16.0,219.0,68.1,,,,,,,,,,,,2.66,3.8200000000000003,3.0,43.8,6.0,0.0,17.0,5.0,48384.0,240.0,276.0
2016-11-30,175.18000000000012,116.84999999999997,133.85000000000002,1062.6860000000004,246.0,27.0,150.0,51.2,155.99666667,110.647,127.5,1013.2860000000001,216.16666666999998,25.0,148.0,56.2,,,,,,,,,,,,3.33,2.99,4.3,24.6,13.0,0.0,7.0,0.0,48384.0,264.0,276.0
2016-12-31,169.32000000000002,135.05600000000004,132.39999999999998,1624.3350000000005,257.0,18.0,275.0,34.9,137.17000000000002,106.33,102.2,1196.311,205.33333333000002,15.0,245.0,30.9,,,,,,,,,,,,8.33,7.759,7.45,108.7,7.0,0.0,12.0,0.0,48384.0,288.0,276.0
2017-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,215.06208333,179.86941667,211.40416667,1877.8165,458.33333327,34.166666666,235.40625001,59.916666660000004,,,,,,,,,,,,4.441666667,4.254583334,2.833333335,47.250000001000004,13.333333333,0.833333334,2.9166666670000003,1.6666666669999999,48408.0,24.0,276.0
