Transaction ID,Date,Medicine Name,Category,Quantity Sold,Government Ceiling Price ($),Industry Selling Price ($),Price per Unit ($),Discount (%),Taxes (%),Demand Level,Supply Chain Issues
1000,2024-11-01,Paracetamol,Painkiller,31,0.55,0.53,0.53,7,15,High,Shipping Delay
1001,2024-11-01,Ibuprofen,Painkiller,99,0.75,0.73,0.73,2,9,Medium,Shipping Delay
1002,2024-11-01,Aspirin,Painkiller,58,0.6,0.58,0.58,13,8,Medium,Shipping Delay
1003,2024-11-01,Naproxen,Painkiller,31,0.85,0.8,0.8,7,5,High,None
1004,2024-11-01,Diclofenac,Painkiller,57,0.9,0.78,0.78,1,13,Medium,Raw Material Shortage
1005,2024-11-01,Amoxicillin,Antibiotic,72,1.3,1.19,1.19,9,15,High,Shipping Delay
1006,2024-11-01,Azithromycin,Antibiotic,22,1.5,1.28,1.28,5,9,High,None
1007,2024-11-01,Ciprofloxacin,Antibiotic,93,1.4,1.36,1.36,12,11,Low,None
1008,2024-11-01,Doxycycline,Antibiotic,53,1.2,1.02,1.02,12,6,Low,None
1009,2024-11-01,Cetrizine,Antihistamine,86,0.4,0.38,0.38,1,9,High,None
1010,2024-11-01,Loratadine,Antihistamine,97,0.45,0.44,0.44,15,9,High,Raw Material Shortage
1011,2024-11-01,Fexofenadine,Antihistamine,93,0.5,0.47,0.47,6,14,Low,Raw Material Shortage
1012,2024-11-01,Metformin,Diabetes,38,0.9,0.82,0.82,13,15,Low,None
1013,2024-11-01,Glimepiride,Diabetes,63,1.1,0.95,0.95,12,5,High,Shipping Delay
1014,2024-11-01,Sitagliptin,Diabetes,42,1.6,1.41,1.41,7,9,Low,Shipping Delay
1015,2024-11-01,Pioglitazone,Diabetes,61,1.2,1.08,1.08,0,12,High,None
1016,2024-11-01,Omeprazole,Acid Reflux,30,0.7,0.6,0.6,8,7,Low,Raw Material Shortage
1017,2024-11-01,Losartan,Blood Pressure,93,1,0.92,0.92,9,5,Medium,Shipping Delay
1018,2024-11-01,Levothyroxine,Thyroid,78,0.8,0.79,0.79,15,14,High,Raw Material Shortage
1019,2024-11-02,Paracetamol,Painkiller,27,0.55,0.5,0.5,4,7,Medium,None
1020,2024-11-02,Ibuprofen,Painkiller,42,0.75,0.69,0.69,8,6,Medium,None
1021,2024-11-02,Aspirin,Painkiller,12,0.6,0.55,0.55,15,15,Medium,Raw Material Shortage
1022,2024-11-02,Naproxen,Painkiller,18,0.85,0.8,0.8,8,12,Low,Shipping Delay
1023,2024-11-02,Diclofenac,Painkiller,100,0.9,0.85,0.85,15,12,Medium,Shipping Delay
1024,2024-11-02,Amoxicillin,Antibiotic,23,1.3,1.3,1.3,8,5,Low,None
1025,2024-11-02,Azithromycin,Antibiotic,12,1.5,1.46,1.46,9,14,Medium,None
1026,2024-11-02,Ciprofloxacin,Antibiotic,93,1.4,1.34,1.34,13,10,Medium,Shipping Delay
1027,2024-11-02,Doxycycline,Antibiotic,35,1.2,1.13,1.13,3,5,High,Shipping Delay
1028,2024-11-02,Cetrizine,Antihistamine,64,0.4,0.4,0.4,15,14,Low,None
1029,2024-11-02,Loratadine,Antihistamine,64,0.45,0.42,0.42,7,14,High,Raw Material Shortage
1030,2024-11-02,Fexofenadine,Antihistamine,73,0.5,0.44,0.44,2,12,Low,Raw Material Shortage
1031,2024-11-02,Metformin,Diabetes,78,0.9,0.89,0.89,5,6,Low,None
1032,2024-11-02,Glimepiride,Diabetes,39,1.1,1.03,1.03,3,11,High,Raw Material Shortage
1033,2024-11-02,Sitagliptin,Diabetes,66,1.6,1.49,1.49,2,9,Low,Shipping Delay
1034,2024-11-02,Pioglitazone,Diabetes,62,1.2,1.08,1.08,14,13,Medium,Shipping Delay
1035,2024-11-02,Omeprazole,Acid Reflux,52,0.7,0.6,0.6,8,5,Low,None
1036,2024-11-02,Losartan,Blood Pressure,71,1,0.86,0.86,13,14,Low,Shipping Delay
1037,2024-11-02,Levothyroxine,Thyroid,53,0.8,0.74,0.74,7,5,Low,Shipping Delay
1038,2024-11-03,Paracetamol,Painkiller,24,0.55,0.51,0.51,14,12,Low,Shipping Delay
1039,2024-11-03,Ibuprofen,Painkiller,27,0.75,0.68,0.68,0,12,Low,Raw Material Shortage
1040,2024-11-03,Aspirin,Painkiller,27,0.6,0.59,0.59,6,15,High,Shipping Delay
1041,2024-11-03,Naproxen,Painkiller,69,0.85,0.78,0.78,8,10,High,Raw Material Shortage
1042,2024-11-03,Diclofenac,Painkiller,34,0.9,0.81,0.81,15,12,Low,Raw Material Shortage
1043,2024-11-03,Amoxicillin,Antibiotic,96,1.3,1.17,1.17,11,14,Low,None
1044,2024-11-03,Azithromycin,Antibiotic,64,1.5,1.4,1.4,6,12,High,Raw Material Shortage
1045,2024-11-03,Ciprofloxacin,Antibiotic,28,1.4,1.3,1.3,13,15,Medium,Raw Material Shortage
1046,2024-11-03,Doxycycline,Antibiotic,71,1.2,1.14,1.14,13,10,High,None
1047,2024-11-03,Cetrizine,Antihistamine,72,0.4,0.36,0.36,3,12,Medium,None
1048,2024-11-03,Loratadine,Antihistamine,39,0.45,0.4,0.4,9,11,Medium,None
1049,2024-11-03,Fexofenadine,Antihistamine,28,0.5,0.5,0.5,6,5,Medium,None
1050,2024-11-03,Metformin,Diabetes,31,0.9,0.84,0.84,15,9,Medium,Shipping Delay
1051,2024-11-03,Glimepiride,Diabetes,69,1.1,0.97,0.97,4,12,Low,None
1052,2024-11-03,Sitagliptin,Diabetes,47,1.6,1.49,1.49,2,7,Low,None
1053,2024-11-03,Pioglitazone,Diabetes,17,1.2,1.09,1.09,0,12,Low,None
1054,2024-11-03,Omeprazole,Acid Reflux,81,0.7,0.67,0.67,0,9,High,Raw Material Shortage
1055,2024-11-03,Losartan,Blood Pressure,19,1,0.97,0.97,8,8,Low,None
1056,2024-11-03,Levothyroxine,Thyroid,84,0.8,0.73,0.73,15,5,High,Shipping Delay
1057,2024-11-04,Paracetamol,Painkiller,65,0.55,0.51,0.51,8,11,Medium,Raw Material Shortage
1058,2024-11-04,Ibuprofen,Painkiller,27,0.75,0.71,0.71,9,6,Low,Raw Material Shortage
1059,2024-11-04,Aspirin,Painkiller,58,0.6,0.52,0.52,8,15,Low,None
1060,2024-11-04,Naproxen,Painkiller,40,0.85,0.76,0.76,0,15,Medium,Raw Material Shortage
1061,2024-11-04,Diclofenac,Painkiller,23,0.9,0.87,0.87,13,6,High,Shipping Delay
1062,2024-11-04,Amoxicillin,Antibiotic,11,1.3,1.25,1.25,8,12,Low,Shipping Delay
1063,2024-11-04,Azithromycin,Antibiotic,21,1.5,1.4,1.4,4,14,Low,Raw Material Shortage
1064,2024-11-04,Ciprofloxacin,Antibiotic,15,1.4,1.3,1.3,6,8,High,Raw Material Shortage
1065,2024-11-04,Doxycycline,Antibiotic,41,1.2,1.17,1.17,5,15,Medium,Shipping Delay
1066,2024-11-04,Cetrizine,Antihistamine,83,0.4,0.39,0.39,9,10,High,None
1067,2024-11-04,Loratadine,Antihistamine,70,0.45,0.39,0.39,5,6,Low,Shipping Delay
1068,2024-11-04,Fexofenadine,Antihistamine,28,0.5,0.49,0.49,15,9,Low,Raw Material Shortage
1069,2024-11-04,Metformin,Diabetes,12,0.9,0.9,0.9,9,12,Medium,Shipping Delay
1070,2024-11-04,Glimepiride,Diabetes,88,1.1,0.96,0.96,7,12,Medium,Shipping Delay
1071,2024-11-04,Sitagliptin,Diabetes,69,1.6,1.53,1.53,1,10,Low,Shipping Delay
1072,2024-11-04,Pioglitazone,Diabetes,34,1.2,1.04,1.04,3,11,Medium,Raw Material Shortage
1073,2024-11-04,Omeprazole,Acid Reflux,71,0.7,0.65,0.65,10,5,High,None
1074,2024-11-04,Losartan,Blood Pressure,47,1,0.99,0.99,2,5,Low,Shipping Delay
1075,2024-11-04,Levothyroxine,Thyroid,72,0.8,0.71,0.71,12,10,Medium,Shipping Delay
1076,2024-11-05,Paracetamol,Painkiller,73,0.55,0.51,0.51,3,15,Medium,Raw Material Shortage
1077,2024-11-05,Ibuprofen,Painkiller,17,0.75,0.75,0.75,13,10,High,Raw Material Shortage
1078,2024-11-05,Aspirin,Painkiller,83,0.6,0.54,0.54,9,13,Medium,None
1079,2024-11-05,Naproxen,Painkiller,37,0.85,0.78,0.78,5,8,Medium,Shipping Delay
1080,2024-11-05,Diclofenac,Painkiller,68,0.9,0.82,0.82,12,6,Low,None
1081,2024-11-05,Amoxicillin,Antibiotic,78,1.3,1.29,1.29,5,7,Low,None
1082,2024-11-05,Azithromycin,Antibiotic,21,1.5,1.4,1.4,3,10,High,Shipping Delay
1083,2024-11-05,Ciprofloxacin,Antibiotic,60,1.4,1.19,1.19,14,11,Medium,Raw Material Shortage
