"Date";"Medicine Name";"Quantity Sold";"Government Ceiling Price ($)";"Industry Selling Price ($)";"Price per Unit ($)";"Discount (%)";"Taxes (%)";"Demand Level"
"2024-11-01";"Paracetamol";31;0.55;0.53;0.53;7;15;"High"
"2024-11-01";"Ibuprofen";99;0.75;0.73;0.73;2;9;"Medium"
"2024-11-01";"Aspirin";58;0.6;0.58;0.58;13;8;"Medium"
"2024-11-01";"Naproxen";31;0.85;0.8;0.8;7;5;"High"
"2024-11-01";"Diclofenac";57;0.9;0.78;0.78;1;13;"Medium"
"2024-11-01";"Amoxicillin";72;1.3;1.19;1.19;9;15;"High"
"2024-11-01";"Azithromycin";22;1.5;1.28;1.28;5;9;"High"
"2024-11-01";"Ciprofloxacin";93;1.4;1.36;1.36;12;11;"Low"
"2024-11-01";"Doxycycline";53;1.2;1.02;1.02;12;6;"Low"
"2024-11-01";"Cetrizine";86;0.4;0.38;0.38;1;9;"High"
"2024-11-01";"Loratadine";97;0.45;0.44;0.44;15;9;"High"
"2024-11-01";"Fexofenadine";93;0.5;0.47;0.47;6;14;"Low"
"2024-11-01";"Metformin";38;0.9;0.82;0.82;13;15;"Low"
"2024-11-01";"Glimepiride";63;1.1;0.95;0.95;12;5;"High"
"2024-11-01";"Sitagliptin";42;1.6;1.41;1.41;7;9;"Low"
"2024-11-01";"Pioglitazone";61;1.2;1.08;1.08;0;12;"High"
"2024-11-01";"Omeprazole";30;0.7;0.6;0.6;8;7;"Low"
"2024-11-01";"Losartan";93;1.0;0.92;0.92;9;5;"Medium"
"2024-11-01";"Levothyroxine";78;0.8;0.79;0.79;15;14;"High"
"2024-11-02";"Paracetamol";27;0.55;0.5;0.5;4;7;"Medium"
"2024-11-02";"Ibuprofen";42;0.75;0.69;0.69;8;6;"Medium"
"2024-11-02";"Aspirin";12;0.6;0.55;0.55;15;15;"Medium"
"2024-11-02";"Naproxen";18;0.85;0.8;0.8;8;12;"Low"
"2024-11-02";"Diclofenac";100;0.9;0.85;0.85;15;12;"Medium"
"2024-11-02";"Amoxicillin";23;1.3;1.3;1.3;8;5;"Low"
"2024-11-02";"Azithromycin";12;1.5;1.46;1.46;9;14;"Medium"
"2024-11-02";"Ciprofloxacin";93;1.4;1.34;1.34;13;10;"Medium"
"2024-11-02";"Doxycycline";35;1.2;1.13;1.13;3;5;"High"
"2024-11-02";"Cetrizine";64;0.4;0.4;0.4;15;14;"Low"
"2024-11-02";"Loratadine";64;0.45;0.42;0.42;7;14;"High"
"2024-11-02";"Fexofenadine";73;0.5;0.44;0.44;2;12;"Low"
"2024-11-02";"Metformin";78;0.9;0.89;0.89;5;6;"Low"
"2024-11-02";"Glimepiride";39;1.1;1.03;1.03;3;11;"High"
"2024-11-02";"Sitagliptin";66;1.6;1.49;1.49;2;9;"Low"
"2024-11-02";"Pioglitazone";62;1.2;1.08;1.08;14;13;"Medium"
"2024-11-02";"Omeprazole";52;0.7;0.6;0.6;8;5;"Low"
"2024-11-02";"Losartan";71;1.0;0.86;0.86;13;14;"Low"
"2024-11-02";"Levothyroxine";53;0.8;0.74;0.74;7;5;"Low"
"2024-11-03";"Paracetamol";24;0.55;0.51;0.51;14;12;"Low"
"2024-11-03";"Ibuprofen";27;0.75;0.68;0.68;0;12;"Low"
"2024-11-03";"Aspirin";27;0.6;0.59;0.59;6;15;"High"
"2024-11-03";"Naproxen";69;0.85;0.78;0.78;8;10;"High"
"2024-11-03";"Diclofenac";34;0.9;0.81;0.81;15;12;"Low"
"2024-11-03";"Amoxicillin";96;1.3;1.17;1.17;11;14;"Low"
"2024-11-03";"Azithromycin";64;1.5;1.4;1.4;6;12;"High"
"2024-11-03";"Ciprofloxacin";28;1.4;1.3;1.3;13;15;"Medium"
"2024-11-03";"Doxycycline";71;1.2;1.14;1.14;13;10;"High"
"2024-11-03";"Cetrizine";72;0.4;0.36;0.36;3;12;"Medium"
"2024-11-03";"Loratadine";39;0.45;0.4;0.4;9;11;"Medium"
"2024-11-03";"Fexofenadine";28;0.5;0.5;0.5;6;5;"Medium"
"2024-11-03";"Metformin";31;0.9;0.84;0.84;15;9;"Medium"
"2024-11-03";"Glimepiride";69;1.1;0.97;0.97;4;12;"Low"
"2024-11-03";"Sitagliptin";47;1.6;1.49;1.49;2;7;"Low"
"2024-11-03";"Pioglitazone";17;1.2;1.09;1.09;0;12;"Low"
"2024-11-03";"Omeprazole";81;0.7;0.67;0.67;0;9;"High"
"2024-11-03";"Losartan";19;1.0;0.97;0.97;8;8;"Low"
"2024-11-03";"Levothyroxine";84;0.8;0.73;0.73;15;5;"High"
"2024-11-04";"Paracetamol";65;0.55;0.51;0.51;8;11;"Medium"
"2024-11-04";"Ibuprofen";27;0.75;0.71;0.71;9;6;"Low"
"2024-11-04";"Aspirin";58;0.6;0.52;0.52;8;15;"Low"
"2024-11-04";"Naproxen";40;0.85;0.76;0.76;0;15;"Medium"
"2024-11-04";"Diclofenac";23;0.9;0.87;0.87;13;6;"High"
"2024-11-04";"Amoxicillin";11;1.3;1.25;1.25;8;12;"Low"
"2024-11-04";"Azithromycin";21;1.5;1.4;1.4;4;14;"Low"
"2024-11-04";"Ciprofloxacin";15;1.4;1.3;1.3;6;8;"High"
"2024-11-04";"Doxycycline";41;1.2;1.17;1.17;5;15;"Medium"
"2024-11-04";"Cetrizine";83;0.4;0.39;0.39;9;10;"High"
"2024-11-04";"Loratadine";70;0.45;0.39;0.39;5;6;"Low"
"2024-11-04";"Fexofenadine";28;0.5;0.49;0.49;15;9;"Low"
"2024-11-04";"Metformin";12;0.9;0.9;0.9;9;12;"Medium"
"2024-11-04";"Glimepiride";88;1.1;0.96;0.96;7;12;"Medium"
"2024-11-04";"Sitagliptin";69;1.6;1.53;1.53;1;10;"Low"
"2024-11-04";"Pioglitazone";34;1.2;1.04;1.04;3;11;"Medium"
"2024-11-04";"Omeprazole";71;0.7;0.65;0.65;10;5;"High"
"2024-11-04";"Losartan";47;1.0;0.99;0.99;2;5;"Low"
"2024-11-04";"Levothyroxine";72;0.8;0.71;0.71;12;10;"Medium"
"2024-11-05";"Paracetamol";73;0.55;0.51;0.51;3;15;"Medium"
"2024-11-05";"Ibuprofen";17;0.75;0.75;0.75;13;10;"High"
"2024-11-05";"Aspirin";83;0.6;0.54;0.54;9;13;"Medium"
"2024-11-05";"Naproxen";37;0.85;0.78;0.78;5;8;"Medium"
"2024-11-05";"Diclofenac";68;0.9;0.82;0.82;12;6;"Low"
"2024-11-05";"Amoxicillin";78;1.3;1.29;1.29;5;7;"Low"
"2024-11-05";"Azithromycin";21;1.5;1.4;1.4;3;10;"High"
"2024-11-05";"Ciprofloxacin";60;1.4;1.19;1.19;14;11;"Medium"
"2024-11-05";"Doxycycline";84;1.2;1.08;1.08;10;15;"Medium"
"2024-11-05";"Cetrizine";70;0.4;0.34;0.34;5;15;"High"
"2024-11-05";"Loratadine";76;0.45;0.39;0.39;3;13;"Medium"
"2024-11-05";"Fexofenadine";65;0.5;0.48;0.48;12;5;"Medium"
"2024-11-05";"Metformin";60;0.9;0.79;0.79;1;8;"Medium"
"2024-11-05";"Glimepiride";45;1.1;1.07;1.07;15;7;"Medium"
"2024-11-05";"Sitagliptin";82;1.6;1.39;1.39;6;6;"Low"
